Año;Departamento;Empresa;Variable Calculada;Estrato 1;Estrato 2;Estrato 3;Estrato 4;Estrato 5;Estrato 6;Total Residencial;Industrial;Comercial;Oficial;Otros;Total No Residencial
2016;HUILA;VATIA S.A. E.S.P.;Consumo Empresa Departamento;0;2221;0;0;0;0;2221;1865251;5291558;0;233172;7389981
2016;LA GUAJIRA;DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;0;249047;0;0;249047
2016;LA GUAJIRA;ELECTRIFICADORA DEL CARIBE S.A. E.S.P.;Consumo Empresa Departamento;213867358;160363913;42869978;2293947;675775;0;420070971;14782351;74070478;22826890;54953978;166633697
2016;LA GUAJIRA;ENEL COLOMBIA S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;0;1788498;383230;0;2171728
2016;LA GUAJIRA;PROFESIONALES EN ENERGÍA S.A E.S.P;Consumo Empresa Departamento;0;0;0;0;0;0;0;0;958723;0;0;958723
2016;LA GUAJIRA;VATIA S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;0;872535;0;0;872535
2016;MAGDALENA;DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;0;3939844;0;0;3939844
2016;MAGDALENA;ELECTRIFICADORA DEL CARIBE S.A. E.S.P.;Consumo Empresa Departamento;575548477;160362882;140438734;49444928;15349280;43533901;984678202;120248147;226532267;29178613;124091594;500050621
2016;MAGDALENA;EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;9562935;14350750;0;0;23913685
2016;MAGDALENA;ENEL COLOMBIA S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;32955828;3507701;3479984;939693;40883206
2016;MAGDALENA;ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;5586989;0;0;0;5586989
2016;MAGDALENA;ENERTOTAL S.A. E.S.P.;Consumo Empresa Departamento;0;2007634;0;0;0;0;2007634;1951172;273450;22337;50942;2297901
2016;MAGDALENA;ISAGEN S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;9840126;0;0;0;9840126
2016;MAGDALENA;TERPEL ENERGIA S.A.S E.S.P;Consumo Empresa Departamento;0;0;0;0;0;0;0;0;2597561;0;0;2597561
2016;MAGDALENA;VATIA S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;131422;158610;290032;0;5938449;0;80190;6018639
2016;META;CELSIA COLOMBIA S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;767204;1920758;0;0;2687962
2016;META;DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;10307159;7894591;784757;0;18986507
2016;META;ELECTRIFICADORA DEL CAQUETA S.A. ESP;Consumo Empresa Departamento;540956;649978;11807;0;0;0;1202741;37968;713570;443226;209517;1404281
2016;META;ELECTRIFICADORA DEL CARIBE S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;1869794;4120091;0;0;5989885
2016;META;ELECTRIFICADORA DEL HUILA S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;0;1551801;0;0;1551801
2016;META;ELECTRIFICADORA DEL META S.A. E.S.P.;Consumo Empresa Departamento;98610536;142834190;122453937;24654186;11117951;4486150;404156950;285580007;217689272;57760792;53217719;614247790
2016;META;EMPRESA DE ENERGIA DE CASANARE SA ESP;Consumo Empresa Departamento;1006492;868983;16368;497;2240;0;1894580;25253;990304;332030;64252;1411839
2016;META;EMPRESA DE ENERGIA DE CUNDINAMARCA S.A. ESP;Consumo Empresa Departamento;190486;613916;81379;9928;0;0;895709;1076724;151348;306852;274696;1809620
2016;META;EMPRESA DE ENERGIA ELECTRICA DEL DEPARTAMENTO DEL GUAVIARE SA ESP;Consumo Empresa Departamento;1218478;363660;19869;0;0;0;1602007;0;433850;454619;0;888469
2016;META;EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P;Consumo Empresa Departamento;0;0;0;0;0;0;0;0;0;591376;0;591376
2016;META;EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;96788107;11787728;0;287037;108862872
2016;META;ENEL COLOMBIA S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;4235225;7147777;265910;0;11648912
2016;META;ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;142929920;0;0;0;142929920
2016;META;ENERTOTAL S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;605645;80874;0;0;686519
2016;META;ITALCOL ENERGIA S.A. ESP.;Consumo Empresa Departamento;0;0;0;0;0;0;0;3644147;0;0;0;3644147
2016;META;TERPEL ENERGIA S.A.S E.S.P;Consumo Empresa Departamento;0;0;0;0;0;0;0;0;224246;0;0;224246
2016;META;VATIA S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;742817;3724772;0;0;4467589
2016;NARIÑO;A.S.C INGENIERIA SOCIEDAD ANONIMA SA ESP.;Consumo Empresa Departamento;0;54998;111840;112871;0;0;279709;3210316;8504317;2663010;4806627;19184270
2016;NARIÑO;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;Consumo Empresa Departamento;193002434;116048126;50233874;18329313;4502150;69257;382185154;24227106;79672792;29463492;48806347;182169737
2016;NARIÑO;DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.;Consumo Empresa Departamento;0;0;9564;23717;0;0;33281;1593;4347272;0;0;4348865
2016;NARIÑO;ELECTRIFICADORA DEL CARIBE S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;0;898446;0;0;898446
2016;NARIÑO;ELECTRIFICADORA DEL HUILA S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;553770;0;0;0;553770
2016;NARIÑO;EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P;Consumo Empresa Departamento;0;0;0;0;0;0;0;0;0;1950884;0;1950884
2016;NARIÑO;EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;2438560;1725753;0;0;4164313
2016;NARIÑO;ENEL COLOMBIA S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;990890;2086298;217986;0;3295174
2016;NARIÑO;ENERTOTAL S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;297660;699403;0;997063;1330016;5359755;486169;391772;7567712
2016;NARIÑO;VATIA S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;254792;1915745;0;0;2170537
2016;NORTE DE SANTANDER;CEMEX ENERGY SAS ESP;Consumo Empresa Departamento;0;0;0;0;0;0;0;26686560;0;0;0;26686560
